item,itemLabel,position,positionLabel,start,psid
Q107620810,German Galushchenko,Q107620801,Minister of Energy of Ukraine,2020-03-04,Q107620810-8DE91EC9-F845-4B37-AA18-F6A39B553DF6
Q110234969,Ruslan Strilets,Q53678351,Minister of Ecology and Natural Resources,2021-11-04,Q110234969-AABCF08D-AB02-42A3-9851-A616393E1B29
Q12149573,Pavlo Riabikin,Q107693996,Minister for Strategic Industries of Ukraine,2021-11-04,Q12149573-DB523331-CC87-429D-BA32-5C0069E174F9
Q16723829,Serhiy Shkarlet,Q53678183,Minister of Education and Science,2020-06-25,Q16723829-983525c0-4ca6-d1a7-2e1d-a24ffdfc8c3e
Q20066227,Iryna Vereshchuk,Q16168515,Deputy Prime Minister of Ukraine,2021-11-04,Q20066227-84CDA898-A7BC-4A16-8990-8EDFF63D18E4
Q20066227,Iryna Vereshchuk,Q53678071,Minister of Temporarily Occupied Territories and IDPs,2021-11-04,Q20066227-12B1E34B-1DBB-4C68-970D-5B31A77C1A04
Q24025631,Dmytro Kuleba,Q6866156,Ukrainian Minister of Foreign Affairs,2020-03-04,Q24025631-6FCEB6BF-7517-486E-A302-E66A7F71685B
Q42792644,Oleksiy Chernyshov,Q53675481,Minister of Regional Development,2020-03-04,Q42792644-CEF6541F-5CE1-436C-8647-11E9F579DCA4
Q4392444,Oleksii Reznikov,Q33006385,Minister of Defence of Ukraine,2021-11-04,Q4392444-77c7d6c4-44fa-c924-11b6-fc6f2c749ea6
Q4458923,Oleksandr Tkachenko,Q107620769,Minister of Culture and Information Policy of Ukraine,2020-06-04,Q4458923-354BB63A-5886-444C-A9CB-6A1573918E37
Q61112536,Yulia Svyrydenko,Q107694043,Minister of Economy of Ukraine,2021-11-04,Q61112536-A88257C8-2951-4947-8EE5-DAEB8D0C3F93
Q61112536,Yulia Svyrydenko,Q16147568,First Deputy Prime Minister of Ukraine,2021-11-04,Q61112536-FC2F7986-B015-44A0-980E-FDD3DE7BF5BF
Q64495543,Mykhailo Fedorov,Q107694003,Minister of Digital Transformation of Ukraine,2020-03-04,Q64495543-111F5645-7EED-45DE-AB34-41C90AC64CC8
Q64495543,Mykhailo Fedorov,Q16168515,Deputy Prime Minister of Ukraine,2020-03-04,Q64495543-03E6D19B-839A-49F5-8FF3-81DA56F45D1C
Q65197482,Oleh Nemchinov,Q107620776,Minister of the Cabinet of Ministers of Ukraine,2020-03-04,Q65197482-6B558621-1C01-4AA8-968A-BB8FA4A4686F
Q65198777,Denys Monastyrskyi,Q12131528,Minister of Interior Affairs of Ukraine,2021-07-16,Q65198777-7A078F33-68A3-451D-9BCD-F9695E2C15F8
Q66094865,Denys Shmyhal,Q1145714,Prime Minister of Ukraine,2020-03-04,Q66094865-0674bce5-4ff5-1b09-f517-26483e8d0dbf
Q66809435,Denys Maliuska,Q55957045,Minister of Justice of Ukraine,2020-03-04,Q66809435-0F59E7EB-0339-4228-AEEA-4C6D65F94EDA
Q66809451,Oleksandr Kubrakov,Q53678203,Minister of Infrastructure,2021-05-20,Q66809451-DB340351-E2D6-4E3D-A7AF-649079AB6B95
Q87073176,Maryna Lazebna,Q53678030,Minister of Social Policy,2020-03-04,Q87073176-E74A2894-7A54-403A-A9B7-D4ABE30B8E55
Q88653809,Yuliia Laputina,Q107620701,Minister for Veterans' Affairs of Ukraine,2020-12-18,Q88653809-A4530553-B48B-444F-A716-5A73255957CD
Q89034171,Serhiy Marchenko,Q25525260,Minister of Finance of Ukraine,2020-03-04,Q89034171-E42EC501-A8B6-411D-8FFF-5541AED4F520
Q89190512,Viktor Liashko,Q53678147,Minister of Health,2021-05-20,Q89190512-2C2A8FE7-E975-43B1-B19E-FAA1ADA60003
Q922349,Vadim Gutzeit,Q53706857,Minister of Youth and Sports,2020-03-04,Q922349-F769902F-E952-4DA8-AC57-49E09F3AB02C
Q96058561,Olha Stefanyshyna,Q107693990,Deputy Prime Minister for European and Euro-Atlantic Integration of Ukraine,2020-03-04,Q96058561-58D357E5-3813-4A87-97C6-2751F40B1051
Q97273389,Roman Leshchenko,Q53678333,Minister of Agrarian Policy and Food,2020-12-17,Q97273389-BD794F65-A45E-4E16-9D31-63D53C12C17B
