item,itemLabel,startDate,endDate
Q715633,Євген Марчук,1991-11-06,1994-07-12
Q4277757,Валерій Маліков,1994-07-12,1995-07-03
Q4388025,Володимир Радченко,1995-07-03,1998-04-22
Q4158965,Леонід Деркач,1998-04-22,2001-02-10
Q4388025,Володимир Радченко,2001-02-10,2003-09-02
Q1657926,Ігор Смешко,2003-09-04,2005-02-04
Q15850,Олександр Турчинов,2005-02-04,2005-09-08
Q1999100,Ігор Дріжчаний,2005-09-08,2006-12-22
Q2509516,Валентин Наливайченко,2006-12-22,2009-03-06
Q982749,Валерій Хорошковський,2010-03-11,2012-01-18
Q559342,Ігор Калінін,2012-02-03,2013-01-09
Q12173442,Олександр Якименко,2013-01-09,2014-02-24
Q2509516,Валентин Наливайченко,2014-02-24,2015-06-18
Q17325581,Василь Грицак,2015-06-18,2019-08-29
Q62726046,Іван Баканов,2019-08-29,
