@@,item,itemlabel,startdate,enddate
->,Q4158965,Деркач Леонід Васильович->Леонід Деркач,1998-04-22,2001-02-10
->,Q4388025,Радченко Володимир Іванович->Володимир Радченко,2001-02-10,2003-09-02
->,Q1657926,Смешко Ігор Петрович->Ігор Смешко,2003-09-04,2005-02-04
->,Q15850,Турчинов Олександр Валентинович->Олександр Турчинов,2005-02-04,2005-09-08
->,Q1999100,Дріжчаний Ігор Васильович->Ігор Дріжчаний,2005-09-08,2006-12-22
->,Q2509516,Наливайченко Валентин Олександрович->Валентин Наливайченко,2006-12-22,2010-03-11->2009-03-06
->,Q982749,Хорошковський Валерій Іванович->Валерій Хорошковський,2010-03-11,2012-01-18
->,Q559342,Калінін Ігор Олександрович->Ігор Калінін,2012-02-03,2013-01-09
->,Q12173442,Якименко Олександр Григорович->Олександр Якименко,2013-01-09,2014-02-24
->,Q2509516,Наливайченко Валентин Олександрович->Валентин Наливайченко,2014-02-24,2015-06-18
->,Q17325581,Грицак Василь Сергійович->Василь Грицак,2015-06-18,2019-05-20->2019-08-29
->,Q62726046,Баканов Іван Геннадійович->Іван Баканов,2019-05-22->2019-08-29,
