@@,itemlabel,item,startdate,enddate
+++,Хананов Едуард Ахатович,Q15062933,1992,1994
+++,Купін Петро Олександрович,Q47489857,1994,1995-07-19
+++,Купін Петро Олександрович,Q47489857,1995-07-19,1995-10-19
+++,Фоменко Геннадій Петрович,Q47489855,1995-10-19,1996-08-08
+++,Фоменко Геннадій Петрович,Q47489855,1996-08-08,1998-04-07
+++,Єфремов Олександр Сергійович,Q4177484,1998-04-07,2005-01-27
+++,Москаль Геннадій Геннадійович,Q724219,2005-11-18,2006-04-26
+++,Кобітєв Олександр Євгенович,Q47489854,2006-04-26,2006-09-15
+++,Антіпов Олександр Миколайович,Q4067092,2006-09-15,2010-03-18
+++,Голенко Валерій Миколайович,Q4141457,2010-03-18,2010-11-10
+++,Пристюк Володимир Миколайович,Q4379213,2010-11-10,2014-03-02
+++,Болотських Михайло Васильович,Q12083800,2014-03-02,2014-05-10
+++,Верігіна Ірина Костянтинівна,Q16694341,2014-05-10,2014-09-18
+++,Москаль Геннадій Геннадійович,Q724219,2014-09-18,2015-07-15
+++,Клименко Юрій Юрійович,Q47489853,2015-07-15,2015-07-22
+++,Тука Георгій Борисович,Q20680017,2015-07-22,2016-04-29
+++,Гарбуз Юрій Григорійович,Q20066438,2016-04-29,2018-11-22
+++,Філь Сергій Олександрович,Q61116254,2018-11-22,2019-07-05
+++,Комарницький Віталій Мар'янович,Q65115248,2019-07-05,2019-10-25
+++,Гайдай Сергій Володимирович,Q65199830,2019-10-25,
