item,itemLabel,startDate,endDate,psid
Q104706501,Гусак Віктор Григорович,2020-12-29,2021-01-29,Q104706501-6FB9B98B-26C9-4DC1-94CC-B60E2572663D
Q12099437,Даниленко Анатолій Степанович,1998-06-11,1999-09-08,Q12099437-96BFC686-9B47-4BE9-8DDA-FB1BD3225FE9
Q12169700,Черевко Олександр Володимирович,2005-02-04,2010-03-12,Q12169700-35381C5B-B0A2-424A-828A-CDE85BE18AED
Q15627818,Лук'янець Володимир Лукич,1999-09-08,2002-11-13,Q15627818-9AAA4E65-381E-4393-AC62-6C76441B238C
Q16720085,Ткаченко Юрій Олегович,2014-03-15,2018-11-20,Q16720085-ED513A7D-480F-44BA-A8E9-49455B04B6ED
Q21600273,Скічко Олександр Олександрович,2021-01-29,,Q21600273-59C2CF81-5267-4A5F-B486-9593DD69D5F3
Q4465177,Тулуб Сергій Борисович,2010-04-06,2014-03-07,Q4465177-2348B484-A4B2-44F7-9389-5980B624747F
Q47489375,Вельбівець Олександр Іванович,2018-11-20,2019-06-24,Q47489375-3A00A8DB-C799-4839-887C-E50859A0B34C
Q47489377,Льошенко Вадим Олексійович,2002-11-13,2005-01-21,Q47489377-34AFCE00-1318-40BD-8902-170FD9FB3003
Q47489624,Гаман Петро Ілліч,2010-03-12,2010-04-06,Q47489624-C29D46BF-1199-4FE7-968B-16A602B0CB01
Q65196140,Висоцький Тарас Миколайович,2019-06-24,2019-07-30,Q65196140-0BDD5A92-EB14-4086-A4E8-B1D9C540182A
Q66309959,Шевченко Ігор Юрійович,2019-07-30,2019-11-04,Q66309959-126AFB54-4DF6-4213-9743-4D65CB7964D9
Q73566139,Боднар Роман Миколайович (політик),2019-11-04,2020-08-28,Q73566139-91EAAAEF-7693-4702-98C2-CD96A98626FE
Q98821925,Сергійчук Сергій Іванович,2020-08-28,2020-12-29,Q98821925-A917FD81-6CE1-49FC-9483-59262008BA52
