@@,itemlabel,item,startdate,enddate
+++,Даниленко Анатолій Степанович,Q12099437,1998-06-11,1999-09-08
+++,Лук'янець Володимир Лукич,Q15627818,1999-09-08,2002-11-13
+++,Льошенко Вадим Олексійович,Q47489377,2002-11-13,2005-01-21
+++,Черевко Олександр Володимирович,Q12169700,2005-02-04,2010-03-12
+++,Гаман Петро Ілліч,Q47489624,2010-03-12,2010-04-06
+++,Тулуб Сергій Борисович,Q4465177,2010-04-06,2014-03-07
+++,Ткаченко Юрій Олегович,Q16720085,2014-03-15,2018-11-20
+++,Вельбівець Олександр Іванович,Q47489375,2018-11-20,2019-06-24
+++,Висоцький Тарас Миколайович,Q65196140,2019-06-24,2019-07-30
+++,Шевченко Ігор Юрійович,Q66309959,2019-07-30,2019-11-04
+++,Боднар Роман Миколайович,Q73566139,2019-11-04,2020-08-28
+++,Сергійчук Сергій Іванович,Q98821925,2020-08-28,2020-12-29
+++,Гусак Віктор Григорович,Q104706501,2020-12-29,2021-01-29
+++,Скічко Олександр Олександрович,Q21600273,2021-01-29,
