@@,itemlabel,item,startdate,enddate
+++,Kostyantyn Morozov,Q4302978,1991-09-03,1993-09-30
+++,Ivan Bizhan,Q4086479,1993-10-04,1993-10-08
+++,Vitalyi Radetskyi,Q4387193,1993-10-08,1994-08-25
+++,Valeriy Shmarov,Q4525616,1994-08-25,1994-10-10
+++,Volodymyr Shkidchenko,Q4524964,2001-11-12,2003-06-25
+++,Valeriy Ivashchenko,Q4197099,2009-06-05,2010-03-11
+++,Volodymyr Zamana,Q12105702,2014-02-22,2014-02-27
->,Stepan Poltorak,Q12141949,2016-04-14->2014-10-14,2019-08-29->2019-05-20
->,Andriy Zahorodniuk->Andriy Zagorodnyuk,Q66819268,2019-08-29,2020-03-04
---,Oleksii Reznikov,Q4392444,2021-11-04,
