item,itemLabel,startDate,endDate
Q12171085,Шаповал Петро Дмитрович,1995-07-13,1998-04-30
Q4216632,Каскевич Михайло Григорович,1998-04-30,1999-08-12
Q16693499,Бутко Микола Петрович,1999-08-12,2002-11-13
Q30960072,Панченко Григорій Михайлович,2002-11-13,2002-12-26
Q12122497,Мельничук Валентин Васильович,2002-12-26,2005-01-21
Q12079666,Атрошенко Владислав Анатолійович,2005-02-04,2005-12-12
Q16704480,Лаврик Микола Іванович,2005-12-12,2007-07-10
Q9377940,Хоменко Володимир Миколайович,2007-10-12,2014-03-03
Q16689753,Івашко Володимир Олександрович,2014-03-03,2014-09-19
Q16699432,Журман Сергій Миколайович,2014-09-19,2015-03-31
Q24958301,Куліч Валерій Петрович,2015-03-31,2018-07-30
Q61112536,Свириденко Юлія Анатоліївна,2018-07-30,2018-11-28
Q61116247,Мисник Олександр Петрович,2018-11-28,2019-06-11
Q16714654,Романова Наталія Андріївна,2019-06-11,2019-10-31
Q73288345,Прокопенко Андрій Леонідович,2019-10-31,2020-10-13
Q16701826,Коваленко Анна Миколаївна,2020-10-13,2021-08-04
Q107884996,Чаус В'ячеслав Анатолійович,2021-08-04,
