item,itemLabel,startDate,endDate,sourceDate,psid
Q16693499,Бутко Микола Петрович,1999-08-12,2002-11-13,,Q16693499-434D1568-49DD-41AB-A0E4-D24D6FFF054F
Q30960072,Панченко Григорій Михайлович,2002-11-13,2002-12-26,,Q30960072-1AAD3923-064D-45F4-8FCC-8F272A199FF9
Q12122497,Мельничук Валентин Васильович,2002-12-26,2005-01-21,,Q12122497-37B4247A-B8F3-42AF-9ED4-D9E44E2007A4
Q12079666,Атрошенко Владислав Анатолійович,2005-02-04,2005-12-12,,Q12079666-818F64F9-CC6A-41EB-9A23-DE9CC7FDBDE7
Q16704480,Лаврик Микола Іванович,2005-12-12,2007-07-10,,Q16704480-774D2615-85EE-48BC-B8BA-1EFB65385CBF
Q9377940,Хоменко Володимир Миколайович,2007-10-12,2014-03-03,,Q9377940-3784DD16-FBB5-44E1-A90B-5D83E336428D
Q16689753,Івашко Володимир Олександрович,2014-03-03,2014-09-19,,Q16689753-56592DFC-2F5E-46C7-89A1-A928121D02D7
Q16699432,Журман Сергій Миколайович,2014-09-19,2015-03-31,,Q16699432-51EAAC94-7C9E-496E-BBF8-C6003AB19061
Q24958301,Куліч Валерій Петрович,2015-03-31,2018-07-30,,Q24958301-631692CF-D4C9-4E4E-8838-D9C57326D5B4
Q61112536,Свириденко Юлія Анатоліївна,2018-07-30,2018-11-28,,Q61112536-F0AA54AD-B831-4057-96F2-423E370DF37F
Q61116247,Мисник Олександр Петрович,2018-11-28,2019-06-11,,Q61116247-AA5E89AF-86D1-41B4-AE64-382E7E726220
Q16714654,Романова Наталія Андріївна,2019-06-11,2019-10-31,,Q16714654-76BA9F26-6D73-49B8-8A78-A97336239FA5
Q73288345,Прокопенко Андрій Леонідович,2019-10-31,2020-10-13,,Q73288345-34A732A4-026F-43EB-A2A8-150E793BCBB8
Q16701826,Коваленко Анна Миколаївна,2020-10-13,2021-08-04,,Q16701826-7C4FEA07-5876-4E69-B84A-C78BFDC29FC7
Q107884996,Чаус В'ячеслав Анатолійович,2021-08-04,,,Q107884996-3c263904-4d37-61f3-0e98-c6adc94c924f
