item,itemLabel,startDate,endDate,sourceDate,psid
Q28701438,Александр Николаевич Диденко,2002-06-26,2004-12-30,2022-04-27,Q28701438-6D033858-D331-4430-82D4-8C9A81EAA6FF
Q12115776,Владимир Иванович Кулиш,2005-10-22,2006-05-17,2022-04-27,Q12115776-A68B1054-4909-4BE0-BF88-229B21A116DB
Q724219,Геннадий Геннадиевич Москаль,2006-05-17,2007-01-09,2022-04-27,Q724219-DC031532-5634-4911-B617-1F0787EA9F68
Q12171625,Виктор Викторович Шемчук,2007-02-22,2007-05-04,2022-04-27,Q12171625-8553775F-666E-4FF6-AABE-EF9A1C486034
Q16722229,Владимир Петрович Хоменко,2007-06-06,2007-12-27,2022-04-27,Q16722229-B1F89006-EEC3-44C3-B192-549D7ED3B374
Q12104852,Леонид Михайлович Жунько,2008-01-30,2010-03-18,2022-04-27,Q12104852-7149D81D-8738-446F-B47A-E88A05D164D1
Q4247257,Сергей Владимирович Куницын,2010-04-06,2010-11-13,2022-04-27,Q4247257-CBA1B763-7C5A-45CF-94CD-8FA6C383E15B
Q1380864,Виктор Тарасович Плакида,2010-11-14,2011-01-12,2022-04-27,Q1380864-32A9B143-5AF1-4941-9F9B-775DF5D6E173
Q4539828,Владимир Григорьевич Яцуба,2011-01-13,2011-07-07,2022-04-27,Q4539828-D2C05978-C1D8-4D92-AA36-312DDAF7060F
Q1380864,Виктор Тарасович Плакида,2012-02-28,2014-02-27,2022-04-27,Q1380864-D30D9B6E-24FC-40EB-932F-52037460F0B0
Q4247257,Сергей Владимирович Куницын,2014-02-27,2014-03-26,2022-04-27,Q4247257-1F93E90B-E0FC-45F2-B0D9-E7B6C85A6666
Q25437074,Наталья Константиновна Попович,2014-05-22,2017-08-17,,Q25437074-739E6D6C-DA14-4433-B1F8-A1C44AEAD102
Q37102225,Борис Владимирович Бабин,2017-08-17,2018-12-03,,Q37102225-B37F74C9-726E-433E-92C3-7B1CA759EBD7
Q60194720,Изет Рустемович Гданов,2018-12-02,2019-06-25,,Q60194720-B0D9D4EC-85B5-4D22-A8DF-D91A29FAE109
Q64841127,Антон Александрович Кориневич,2019-06-25,2022-04-25,,Q64841127-713F00E3-3DAB-4841-8359-BFCA1C2BD94E
Q65088401,,2022-04-25,,,Q65088401-253dfab1-4b48-d967-a89d-320fe10f8577
