@@,itemlabel,item,startdate,enddate
+++,Матвієнко Володимир Павлович,Q4284678,1991-06-06,1992-03-24
->,Гетьман Вадим Петрович,Q2996489,1992-03-24,1993->1992-12-18
+++,Ющенко Віктор Андрійович,Q1459699,1993-01-26,1997-01-27
+++,Ющенко Віктор Андрійович,Q1459699,1997-01-27,1997-02-05
+++,Ющенко Віктор Андрійович,Q1459699,1997-02-05,2000-01-11
+++,Стельмах Володимир Семенович,Q2987224,2000-01-21,2002-12-17
+++,Стельмах Володимир Семенович,Q2987224,2004-12-16,2010-12-23
+++,Арбузов Сергій Геннадійович,Q1711587,2010-12-23,2013-01-11
+++,Соркін Ігор В'ячеславович,Q12154591,2013-01-11,2014-02-24
+++,Кубів Степан Іванович,Q2589861,2014-02-24,2014-06-19
+++,Гонтарева Валерія Олексіївна,Q17258053,2014-06-19,2018-03-15
+++,Смолій Яків Васильович,Q16716966,2018-03-15,2020-07-03
