item,itemLabel,startDate,endDate,psid
Q12154591,Соркін Ігор В'ячеславович,2013-01-11,2014-02-24,Q12154591-9F20C69C-3F74-4B5F-8491-61EB74FBCF0C
Q1459699,Ющенко Віктор Андрійович,1993-01-26,1997-01-27,Q1459699-7BE10795-5CA6-4287-AC13-86BAF96C0344
Q1459699,Ющенко Віктор Андрійович,1997-02-05,2000-01-11,Q1459699-C6D1BBD4-D18E-4D4E-A517-AF5B6394D3B8
Q1459699,Ющенко Віктор Андрійович,1997-01-27,1997-02-05,Q1459699-E67AE88B-2A36-4057-B841-31C6BD84A09D
Q16716966,Смолій Яків Васильович,2018-03-15,2020-07-03,Q16716966-7DDD1E0C-39A8-4DF9-A416-9958DE3A8B5F
Q1711587,Арбузов Сергій Геннадійович,2010-12-23,2013-01-11,Q1711587-C968907D-3E2C-4026-A94C-D75E02E485A1
Q17258053,Гонтарева Валерія Олексіївна,2014-06-19,2018-03-15,Q17258053-353E172C-C98F-4E35-BEFE-7CC6E14C0951
Q2589861,Кубів Степан Іванович,2014-02-24,2014-06-19,Q2589861-BA9797A2-8976-4E64-BCF3-8B80597E7333
Q28701679,Шевченко Кирило Євгенович,2020-07-16,,Q28701679-AB3FAD9B-2922-4DE4-B73A-90E04575F057
Q2987224,Стельмах Володимир Семенович,2000-01-21,2002-12-17,Q2987224-34820D12-3635-4ACB-AC71-D5E434426FB2
Q2987224,Стельмах Володимир Семенович,2004-12-16,2010-12-23,Q2987224-5000943B-29BA-4661-A794-148300704EF5
Q2996489,Гетьман Вадим Петрович,1992-03-24,1993,Q2996489-6FE2D1F7-3F4B-46DC-B22D-CEEC574237B3
Q379720,Тігіпко Сергій Леонідович,2002-12-17,2004-12-16,Q379720-331F8FD7-BECA-4C21-A127-59954286DCAD
Q4284678,Матвієнко Володимир Павлович,1991-06-06,1992-03-24,Q4284678-7AFD01A7-3C39-4992-BE25-84105D71FE83
