@@,itemlabel,item,startdate,enddate
+++,Боделан Руслан Борисович,Q4089962,1991-01,1992-04
+++,Симоненко Валентин Костянтинович,Q1000061,1992-03,1992-07
+++,Ільїн Владлен Олексійович,Q47489767,1992-07,1994-08
+++,Боделан Руслан Борисович,Q4089962,1994-07,1995-07
+++,Боделан Руслан Борисович,Q4089962,1995-07,1998-05
+++,Гриневецький Сергій Рафаїлович,Q4149622,1998-05,2005-02
+++,Цушко Василь Петрович,Q1551591,2005-02,2006-05
+++,Звягінцев Борис Григорович,Q47489765,2006-05,2006-08
+++,Плачков Іван Васильович,Q3622828,2006-08,2007-11
+++,Сердюк Микола Дмитрович,Q12152289,2007-11,2010-03
+++,Матвійчук Едуард Леонідович,Q4284684,2010-03,2013-11
+++,Скорик Микола Леонідович,Q15235100,2013-11,2014-03
+++,Немировський Володимир Леонідович,Q15899607,2014-03,2014-05
+++,Палиця Ігор Петрович,Q11711558,2014-05,2015-05-30
->,Саакашвілі Міхеїл Ніколозович->Саакашвілі Міхеіл,Q43330,2015-05-30,2016-11-09
+++,Бобровська Соломія Анатоліївна,Q47489760,2016-11-09,2017-01-12
+++,Куций Максим Васильович,Q70514969,2019-10-11,2020-11-05
+++,Овечкін В'ячеслав Ігорович,Q105098172,2020-11-09,2020-11-27
+++,Гриневецький Сергій Рафаїлович,Q4149622,2020-11-27,2022-03-01
+++,Марченко Максим Михайлович,Q65206917,2022-03-01,
